step,grad_steps,ep_count,critic_loss,actor_loss,alpha,q_mean,target_q_mean,log_prob,dg_gate_mean,dg_gate_std,dg_delight_mean,v_loss,v_mean,alpha_std,alpha_min,alpha_max,ucb_mult_mean,ucb_mult_max,q_disagree_mean,cos_sim_mean,cos_sim_improved,spg_q_gain,reparam_q_gain,from_sba,from_actor,from_sample,spg_frac,spg_step_norm
34510,17000,34,0.3311230540275574,0.27344831824302673,0.015391862019896507,4.9729790687561035,5.016266822814941,3.265007495880127,0.9453125,0.0,0.1814391165971756,0.0,0.0,0.0,0.015391862019896507,0.015391862019896507,1.0,1.0,0.0,0.39270615577697754,0.4154247045516968,0.1814391165971756,0.10416657477617264,0.15625,0.0078125,0.8359375,0.9453125,1.076088309288025
36510,18000,36,0.31241849064826965,0.26134541630744934,0.015236904844641685,4.9380059242248535,4.996716022491455,2.7330245971679688,0.90625,0.0,0.17560766637325287,0.0,0.0,0.0,0.015236904844641685,0.015236904844641685,1.0,1.0,0.0,0.38200893998146057,0.4215271472930908,0.17560766637325287,0.12042893469333649,0.1875,0.0234375,0.7890625,0.90625,1.0247471332550049
38510,19000,38,0.8899375200271606,0.2860439419746399,0.015012593008577824,5.7404584884643555,5.703701972961426,3.0183966159820557,0.9296875,0.0,0.20516538619995117,0.0,0.0,0.0,0.015012593008577824,0.015012593008577824,1.0,1.0,0.0,0.40354326367378235,0.4340633153915405,0.20516538619995117,0.1080850288271904,0.1796875,0.0,0.8203125,0.9296875,1.1268105506896973
40510,20000,40,0.47920072078704834,0.2411663830280304,0.014894158579409122,5.521600723266602,5.609450340270996,2.9148001670837402,0.9296875,0.0,0.16731102764606476,0.0,0.0,0.0,0.014894158579409122,0.014894158579409122,1.0,1.0,0.0,0.38468465209007263,0.4137784540653229,0.16731102764606476,0.11373049765825272,0.203125,0.0,0.796875,0.9296875,0.9960968494415283
42510,21000,42,0.5058251619338989,0.316945344209671,0.014766847714781761,5.880531311035156,5.9545488357543945,3.0053412914276123,0.921875,0.0,0.19732524454593658,0.0,0.0,0.0,0.014766847714781761,0.014766847714781761,1.0,1.0,0.0,0.32619160413742065,0.35383495688438416,0.19732524454593658,0.12178288400173187,0.171875,0.0,0.828125,0.921875,1.1807279586791992
44510,22000,44,0.6140009164810181,0.25633588433265686,0.015091802924871445,6.219202995300293,6.175196647644043,2.792501926422119,0.9375,0.0,0.21506527066230774,0.0,0.0,0.0,0.015091802924871445,0.015091802924871445,1.0,1.0,0.0,0.4354217052459717,0.46444982290267944,0.21506527066230774,0.127770334482193,0.1953125,0.0,0.8046875,0.9375,1.0254433155059814
46510,23000,46,0.7056031823158264,0.25198325514793396,0.015604419633746147,7.503631591796875,7.452674865722656,2.855276584625244,0.921875,0.0,0.20729583501815796,0.0,0.0,0.0,0.015604419633746147,0.015604419633746147,1.0,1.0,0.0,0.4091396927833557,0.4438125491142273,0.20729583501815796,0.12471439689397812,0.125,0.0,0.875,0.921875,1.0419127941131592
48510,24000,48,0.9614084959030151,0.2719065845012665,0.01549485418945551,7.687053203582764,7.722423553466797,2.8699896335601807,0.921875,0.0,0.21538667380809784,0.0,0.0,0.0,0.01549485418945551,0.01549485418945551,1.0,1.0,0.0,0.4252271056175232,0.4612632989883423,0.21538667380809784,0.12919427454471588,0.2421875,0.0,0.7578125,0.921875,1.0729994773864746
50510,25000,50,0.831202507019043,0.3042236566543579,0.01493984553962946,8.859328269958496,8.860261917114258,2.980865716934204,0.953125,0.0,0.25586143136024475,0.0,0.0,0.0,0.01493984553962946,0.01493984553962946,1.0,1.0,0.0,0.40515121817588806,0.4250766634941101,0.25586143136024475,0.17007094621658325,0.15625,0.0,0.84375,0.953125,1.1402082443237305
52510,26000,52,0.8831557631492615,0.2853018343448639,0.015952492132782936,9.362569808959961,9.430183410644531,2.816272497177124,0.9296875,0.0,0.2442830502986908,0.0,0.0,0.0,0.015952492132782936,0.015952492132782936,1.0,1.0,0.0,0.42004910111427307,0.45181751251220703,0.2442830502986908,0.16472765803337097,0.171875,0.0,0.828125,0.9296875,1.1049004793167114
54510,27000,54,0.9724450707435608,0.246358260512352,0.01513692643493414,10.292362213134766,10.315228462219238,2.8695058822631836,0.953125,0.0,0.22740085422992706,0.0,0.0,0.0,0.01513692643493414,0.01513692643493414,1.0,1.0,0.0,0.4594416618347168,0.48203715682029724,0.22740085422992706,0.15934918820858002,0.1640625,0.0,0.8359375,0.953125,1.0182085037231445
56510,28000,56,1.1562026739120483,0.26119527220726013,0.015833066776394844,9.776607513427734,9.819117546081543,2.392723560333252,0.921875,0.0,0.27343836426734924,0.0,0.0,0.0,0.015833066776394844,0.015833066776394844,1.0,1.0,0.0,0.4277931749820709,0.464046835899353,0.27343836426734924,0.18346120417118073,0.234375,0.0,0.765625,0.921875,1.065250277519226
58510,29000,58,1.0256394147872925,0.25503405928611755,0.015533811412751675,9.403121948242188,9.398221015930176,2.9129326343536377,0.9375,0.0,0.19766736030578613,0.0,0.0,0.0,0.015533811412751675,0.015533811412751675,1.0,1.0,0.0,0.38979825377464294,0.4157848358154297,0.19766736030578613,0.12320324778556824,0.171875,0.0078125,0.8203125,0.9375,1.0388319492340088
60510,30000,60,1.395916223526001,0.26442593336105347,0.015444215387105942,10.22127914428711,10.313148498535156,2.8603720664978027,0.9140625,0.0,0.22835701704025269,0.0,0.0,0.0,0.015444215387105942,0.015444215387105942,1.0,1.0,0.0,0.4006398022174835,0.4383068382740021,0.22835701704025269,0.13380922377109528,0.203125,0.0,0.796875,0.9140625,1.074958324432373
62510,31000,62,1.8148903846740723,0.27800822257995605,0.015797389671206474,10.653009414672852,10.456626892089844,2.83371639251709,0.8828125,0.0,0.22168217599391937,0.0,0.0,0.0,0.015797389671206474,0.015797389671206474,1.0,1.0,0.0,0.353474497795105,0.400395929813385,0.22168217599391937,0.14742891490459442,0.2109375,0.0,0.7890625,0.8828125,1.0958139896392822
64510,32000,64,1.6959738731384277,0.2988455593585968,0.015811141580343246,11.310633659362793,11.389079093933105,3.403146266937256,0.9609375,0.0,0.27633583545684814,0.0,0.0,0.0,0.015811141580343246,0.015811141580343246,1.0,1.0,0.0,0.39665496349334717,0.4127790927886963,0.27633583545684814,0.2085084468126297,0.1875,0.0,0.8125,0.9609375,1.0984981060028076
66510,33000,66,2.7904107570648193,0.2822650074958801,0.016169222071766853,10.93037223815918,10.941770553588867,2.6627097129821777,0.9375,0.0,0.250542014837265,0.0,0.0,0.0,0.016169222071766853,0.016169222071766853,1.0,1.0,0.0,0.4017980992794037,0.42858463525772095,0.250542014837265,0.17222703993320465,0.203125,0.0,0.796875,0.9375,1.1072485446929932
68510,34000,68,1.5451655387878418,0.2491074651479721,0.015334684401750565,12.552918434143066,12.559372901916504,3.174818754196167,0.9921875,0.0,0.2536577582359314,0.0,0.0,0.0,0.015334684401750565,0.015334684401750565,1.0,1.0,0.0,0.4562210440635681,0.45981332659721375,0.2536577582359314,0.16624927520751953,0.15625,0.0,0.84375,0.9921875,1.0063858032226562
70510,35000,70,1.6988873481750488,0.2656678557395935,0.014935835264623165,12.401632308959961,12.389822006225586,2.8079335689544678,0.90625,0.0,0.26189789175987244,0.0,0.0,0.0,0.014935835264623165,0.014935835264623165,1.0,1.0,0.0,0.3482203781604767,0.3842431902885437,0.26189789175987244,0.19883596897125244,0.15625,0.0,0.84375,0.90625,1.0795506238937378
72510,36000,72,1.573832631111145,0.2811316251754761,0.014398028142750263,11.925753593444824,12.005415916442871,2.9273602962493896,0.8984375,0.0,0.19655001163482666,0.0,0.0,0.0,0.014398028142750263,0.014398028142750263,1.0,1.0,0.0,0.36655086278915405,0.4079870581626892,0.19655001163482666,0.1423027217388153,0.2265625,0.0078125,0.765625,0.8984375,1.0862855911254883
74510,37000,74,2.0664174556732178,0.26157450675964355,0.013996505178511143,14.735672950744629,14.668169021606445,2.912789821624756,0.921875,0.0,0.2405925691127777,0.0,0.0,0.0,0.013996505178511143,0.013996505178511143,1.0,1.0,0.0,0.3879620432853699,0.42084017395973206,0.2405925691127777,0.1738317906856537,0.1875,0.0,0.8125,0.921875,1.0777902603149414
76510,38000,76,1.8095476627349854,0.27080029249191284,0.015073793940246105,13.483030319213867,13.459822654724121,3.0530707836151123,0.8984375,0.0,0.24022386968135834,0.0,0.0,0.0,0.015073793940246105,0.015073793940246105,1.0,1.0,0.0,0.40156134963035583,0.44695520401000977,0.24022386968135834,0.18249192833900452,0.234375,0.0,0.765625,0.8984375,1.094228744506836
78510,39000,78,2.2223877906799316,0.28597044944763184,0.015034851618111134,14.580114364624023,14.812417984008789,3.047010660171509,0.9140625,0.0,0.26142019033432007,0.0,0.0,0.0,0.015034851618111134,0.015034851618111134,1.0,1.0,0.0,0.37154218554496765,0.40647345781326294,0.26142019033432007,0.1469247043132782,0.203125,0.0,0.796875,0.9140625,1.1135666370391846
80510,40000,80,2.240819215774536,0.2762589156627655,0.015394137240946293,16.61212730407715,16.590946197509766,3.2100772857666016,0.8984375,0.0,0.23218384385108948,0.0,0.0,0.0,0.015394137240946293,0.015394137240946293,1.0,1.0,0.0,0.3531937301158905,0.39312002062797546,0.23218384385108948,0.13533420860767365,0.1875,0.0078125,0.8046875,0.8984375,1.098881721496582
82510,41000,82,2.6913177967071533,0.2474512755870819,0.015253647230565548,17.15154457092285,17.332839965820312,3.0055763721466064,0.9296875,0.0,0.306807279586792,0.0,0.0,0.0,0.015253647230565548,0.015253647230565548,1.0,1.0,0.0,0.3967970013618469,0.42680686712265015,0.306807279586792,0.23843933641910553,0.140625,0.0,0.859375,0.9296875,1.0517985820770264
84510,42000,84,3.060777187347412,0.25110065937042236,0.01545011531561613,18.2430362701416,18.38292694091797,2.735405921936035,0.90625,0.0,0.3364623486995697,0.0,0.0,0.0,0.01545011531561613,0.01545011531561613,1.0,1.0,0.0,0.45029589533805847,0.4968782365322113,0.3364623486995697,0.25692713260650635,0.2421875,0.0,0.7578125,0.90625,1.0745081901550293
86510,43000,86,3.0211286544799805,0.2721852660179138,0.015699630603194237,18.668243408203125,18.91626739501953,2.9851322174072266,0.9453125,0.0,0.289739727973938,0.0,0.0,0.0,0.015699630603194237,0.015699630603194237,1.0,1.0,0.0,0.4015501141548157,0.4247802793979645,0.289739727973938,0.20894324779510498,0.1875,0.0078125,0.8046875,0.9453125,1.0697569847106934
88510,44000,88,3.0020246505737305,0.25331953167915344,0.014591892249882221,19.211585998535156,19.400447845458984,3.322268486022949,0.875,0.0,0.27208492159843445,0.0,0.0,0.0,0.014591892249882221,0.014591892249882221,1.0,1.0,0.0,0.3854987621307373,0.44057002663612366,0.27208492159843445,0.17291325330734253,0.1796875,0.0078125,0.8125,0.875,1.053147554397583
90510,45000,90,3.566579818725586,0.27112138271331787,0.014855984598398209,18.368358612060547,18.88824462890625,3.0861880779266357,0.890625,0.0,0.32144367694854736,0.0,0.0,0.0,0.014855984598398209,0.014855984598398209,1.0,1.0,0.0,0.38395270705223083,0.43110474944114685,0.32144367694854736,0.18267378211021423,0.25,0.0,0.75,0.890625,1.1420836448669434
92510,46000,92,2.956451416015625,0.28456467390060425,0.015804946422576904,17.76264762878418,17.776992797851562,3.2948100566864014,0.9140625,0.0,0.2808161675930023,0.0,0.0,0.0,0.015804946422576904,0.015804946422576904,1.0,1.0,0.0,0.4071304500102997,0.4454076588153839,0.2808161675930023,0.17761726677417755,0.1953125,0.0078125,0.796875,0.9140625,1.0924474000930786
94510,47000,94,3.315423011779785,0.25127938389778137,0.01657973602414131,19.96220588684082,19.803874969482422,3.500389814376831,0.9375,0.0,0.3032087981700897,0.0,0.0,0.0,0.01657973602414131,0.01657973602414131,1.0,1.0,0.0,0.37805742025375366,0.4032612442970276,0.3032087981700897,0.17482586205005646,0.1875,0.0078125,0.8046875,0.9375,1.0049254894256592
96510,48000,96,18.455001831054688,0.2758946120738983,0.015661312267184258,21.295391082763672,20.954715728759766,2.7345457077026367,0.9140625,0.0,0.31162965297698975,0.0,0.0,0.0,0.015661312267184258,0.015661312267184258,1.0,1.0,0.0,0.39065706729888916,0.427385538816452,0.31162965297698975,0.2093992829322815,0.203125,0.015625,0.78125,0.9140625,1.1199942827224731
98510,49000,98,3.937680721282959,0.24158994853496552,0.01563231088221073,21.75189971923828,21.60263442993164,2.9154975414276123,0.8984375,0.0,0.3066312372684479,0.0,0.0,0.0,0.01563231088221073,0.01563231088221073,1.0,1.0,0.0,0.38377368450164795,0.42715680599212646,0.3066312372684479,0.217670738697052,0.1953125,0.0,0.8046875,0.8984375,1.0443423986434937
