step,grad_steps,ep_count,critic_loss,actor_loss,alpha,q_mean,target_q_mean,log_prob,dg_gate_mean,dg_gate_std,dg_delight_mean,v_loss,v_mean,alpha_std,alpha_min,alpha_max,ucb_mult_mean,ucb_mult_max,q_disagree_mean
2510,1000,2,0.020760342478752136,0.3474840223789215,0.024729691445827484,2.2349913120269775,2.223270893096924,0.26131483912467957,1.0,0.0,0.1371791511774063,0.0,0.0,0.0,0.024729691445827484,0.024729691445827484,1.0,1.0,0.0
4510,2000,4,0.09557914733886719,0.31042715907096863,0.014269410632550716,4.812812805175781,4.832712173461914,3.9531056880950928,1.0,0.0,0.19316443800926208,0.0,0.0,0.0,0.014269410632550716,0.014269410632550716,1.0,1.0,0.0
6510,3000,6,0.14153897762298584,0.32407283782958984,0.010694977827370167,6.318453311920166,6.266768455505371,4.064633846282959,1.0,0.0,0.2763945162296295,0.0,0.0,0.0,0.010694977827370167,0.010694977827370167,1.0,1.0,0.0
8510,4000,8,0.4956786334514618,0.3206690847873688,0.009999999776482582,8.198502540588379,8.217876434326172,4.697781562805176,1.0,0.0,0.4187472462654114,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
10510,5000,10,0.693649411201477,0.28952556848526,0.009999999776482582,15.758460998535156,15.869335174560547,4.628818035125732,1.0,0.0,0.5543542504310608,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
12510,6000,12,0.6759764552116394,0.3235202431678772,0.009999999776482582,16.777484893798828,16.649063110351562,4.577187538146973,1.0,0.0,0.7214075922966003,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
14510,7000,14,0.9564372301101685,0.31810232996940613,0.009999999776482582,17.6403751373291,17.664794921875,4.980494022369385,1.0,0.0,0.7965613603591919,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
16510,8000,16,1.443544626235962,0.32837575674057007,0.009999999776482582,21.295940399169922,21.2630615234375,4.3230791091918945,1.0,0.0,0.9973498582839966,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
18510,9000,18,1.825412631034851,0.35922664403915405,0.009999999776482582,23.765064239501953,23.866376876831055,3.6985225677490234,1.0,0.0,1.1388170719146729,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
20510,10000,20,2.394190549850464,0.3499411940574646,0.009999999776482582,23.718717575073242,23.561269760131836,4.126664638519287,1.0,0.0,1.2360705137252808,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
22510,11000,22,2.1684412956237793,0.34681862592697144,0.009999999776482582,27.31277847290039,27.575439453125,4.225007057189941,1.0,0.0,1.339882493019104,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
24510,12000,24,2.6686320304870605,0.3615108132362366,0.009999999776482582,23.646854400634766,23.35150909423828,3.4751245975494385,1.0,0.0,1.4863718748092651,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
26510,13000,26,3.022317409515381,0.38722115755081177,0.009999999776482582,30.139175415039062,30.01432991027832,4.332531929016113,1.0,0.0,1.3643831014633179,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
28510,14000,28,2.7523555755615234,0.37789541482925415,0.009999999776482582,32.27861785888672,31.980085372924805,4.058162689208984,1.0,0.0,1.631941318511963,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
30510,15000,30,3.694145441055298,0.3830757439136505,0.009999999776482582,33.70405960083008,33.67438888549805,3.187049627304077,1.0,0.0,1.6275514364242554,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
32510,16000,32,3.6311099529266357,0.42172300815582275,0.009999999776482582,36.660892486572266,36.679420471191406,3.117753028869629,1.0,0.0,1.9127674102783203,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
34510,17000,34,5.242380619049072,0.40866386890411377,0.009999999776482582,29.049312591552734,29.145179748535156,3.1266252994537354,1.0,0.0,1.727827548980713,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
36510,18000,36,3.14906907081604,0.4350714087486267,0.009999999776482582,37.59429168701172,37.31232833862305,2.3381247520446777,1.0,0.0,1.8302912712097168,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
