step,grad_steps,alpha,sps,elapsed
1514,501,0.036871686577796936,279.6926221997104,5.413085222244263
2514,1001,0.019694354385137558,228.7375724460831,10.990761041641235
3514,1501,0.014144214801490307,286.3387593888102,12.27217721939087
4514,2001,0.012296749278903008,332.26794897547774,13.585421085357666
5514,2501,0.011516225524246693,370.434718294997,14.885213851928711
6514,3001,0.011282393708825111,401.73611357851104,16.21462392807007
7514,3501,0.011389892548322678,428.33951998248153,17.54215908050537
8514,4001,0.011813348159193993,451.6009814694179,18.85292625427246
9514,4501,0.012634530663490295,472.0492830677436,20.154675245285034
10514,5001,0.013518042862415314,489.5501690732629,21.476859092712402
11514,5501,0.013860730454325676,502.429057803927,22.916668176651
12514,6001,0.013497656211256981,517.1090621629926,24.199923992156982
13514,6501,0.012982704676687717,530.3810287576757,25.479795217514038
14514,7001,0.012203318998217583,541.8885939892597,26.78410315513611
15514,7501,0.011026673018932343,551.5239943043299,28.129329204559326
16514,8001,0.010371193289756775,558.886213327224,29.548053979873657
17514,8501,0.010000700131058693,565.7735150070766,30.95584988594055
18514,9001,0.009999999776482582,572.4922181531521,32.33930420875549
19514,9501,0.009999999776482582,578.8075014730667,33.71414494514465
20514,10001,0.009999999776482582,584.4409128700153,35.10021209716797
21514,10501,0.009999999776482582,591.0051664666156,36.40238904953003
22514,11001,0.009999999776482582,590.8680736326502,38.10326027870178
23514,11501,0.010185379534959793,592.3164647838174,39.69837307929993
24514,12001,0.010001320391893387,596.3337442145894,41.107853174209595
25514,12501,0.009999999776482582,600.3612926482941,42.497743129730225
26514,13001,0.009999999776482582,603.8688576306039,43.90688419342041
27514,13501,0.009999999776482582,606.5249771864787,45.36334204673767
28514,14001,0.009999999776482582,610.2061536977501,46.72847008705139
29514,14501,0.009999999776482582,610.9403657707617,48.309134006500244
30514,15001,0.009999999776482582,613.0524038194079,49.77388525009155
31514,15501,0.009999999776482582,615.4941434102657,51.20113706588745
32514,16001,0.010025160387158394,616.4647026476001,52.74267911911011
33514,16501,0.010704701766371727,614.1276090305305,54.571720123291016
34514,17001,0.010485722683370113,614.441676350611,56.17131996154785
35514,17501,0.01061267964541912,614.5026248428379,57.79308104515076
36514,18001,0.010947328060865402,614.141699808287,59.455334186553955
37514,18501,0.010587397031486034,612.6966793718886,61.227686166763306
38514,19001,0.010566718876361847,612.0443917523477,62.92680811882019
